flops_per_token,energy_per_token_kwh,latency_simulation_simulate,latency_simulation_delay_min,latency_simulation_delay_max,latency_numeric,latency_constant,latency_bursty,burst_0.1_0.2,burst_0.05_0.1,burst_0.4_0.5,burst_0.2_0.4
1034544128.0,1.8289813364640197e-06,True,0.1,0.2,0.15000000000000002,False,True,True,False,False,False
1034544128.0,1.9309749289870483e-06,True,0.4,0.5,0.45,True,False,False,False,False,False
1034544128.0,1.8495040731554688e-06,True,0.05,0.1,0.07500000000000001,False,True,False,True,False,False
1034544128.0,1.7961676237534424e-06,True,0.05,0.1,0.07500000000000001,False,True,False,True,False,False
1034544128.0,1.927536863068579e-06,True,0.4,0.5,0.45,False,True,False,False,True,False
1034544128.0,1.901874883096338e-06,True,0.4,0.5,0.45,False,True,False,False,True,False
1034544128.0,2.1119367168233336e-06,True,0.4,0.5,0.45,False,True,False,False,True,False
1034544128.0,1.854306105283728e-06,True,0.2,0.4,0.30000000000000004,False,True,False,False,False,True
1034544128.0,1.909230347115167e-06,True,0.2,0.4,0.30000000000000004,False,True,False,False,False,True
1034544128.0,1.8916856309216004e-06,True,0.1,0.2,0.15000000000000002,False,True,True,False,False,False
1034544128.0,1.8909491562077882e-06,True,0.4,0.5,0.45,False,True,False,False,True,False
1034544128.0,1.8061417205133057e-06,True,0.1,0.2,0.15000000000000002,False,True,True,False,False,False
1034544128.0,1.95632658118996e-06,True,0.1,0.2,0.15000000000000002,False,True,True,False,False,False
1034544128.0,1.8486275164417785e-06,True,0.05,0.1,0.07500000000000001,False,True,False,True,False,False
1034544128.0,1.9756902320894104e-06,True,0.05,0.1,0.07500000000000001,False,True,False,True,False,False
1034544128.0,2.1044829091696045e-06,True,0.2,0.4,0.30000000000000004,False,True,False,False,False,True
1034544128.0,2.079861965008313e-06,True,0.4,0.5,0.45,False,True,False,False,True,False
1034544128.0,1.8646472490051575e-06,True,0.2,0.4,0.30000000000000004,False,True,False,False,False,True
1034544128.0,1.5533220891311158e-06,True,0.1,0.2,0.15000000000000002,False,True,True,False,False,False
1034544128.0,1.8381334577628418e-06,True,0.2,0.4,0.30000000000000004,False,True,False,False,False,True
1034544128.0,1.7386848386872254e-06,True,0.05,0.1,0.07500000000000001,False,True,False,True,False,False
1034544128.0,2.0114671661773317e-06,True,0.1,0.2,0.15000000000000002,False,True,True,False,False,False
1034544128.0,1.824533492246399e-06,True,0.1,0.2,0.15000000000000002,False,True,True,False,False,False
1034544128.0,1.9191129175655213e-06,True,0.2,0.4,0.30000000000000004,False,True,False,False,False,True
1034544128.0,1.8011124052324707e-06,True,0.05,0.1,0.07500000000000001,True,False,False,False,False,False
1034544128.0,2.004788197854315e-06,True,0.2,0.4,0.30000000000000004,False,True,False,False,False,True
1034544128.0,1.736775145945929e-06,False,0.0,0.0,0.0,True,True,False,False,False,False
1034544128.0,1.9446248434223145e-06,True,0.05,0.1,0.07500000000000001,False,True,False,True,False,False
1034544128.0,1.868129928516626e-06,True,0.2,0.4,0.30000000000000004,False,True,False,False,False,True
1034544128.0,1.8417981975688049e-06,True,0.2,0.4,0.30000000000000004,False,True,False,False,False,True
1034544128.0,1.8065584374019105e-06,True,0.05,0.1,0.07500000000000001,False,True,False,True,False,False
1034544128.0,2.0775635886535277e-06,True,0.4,0.5,0.45,False,True,False,False,True,False
1034544128.0,1.8181556509737305e-06,True,0.05,0.1,0.07500000000000001,False,True,False,True,False,False
1034544128.0,1.865307052385327e-06,True,0.2,0.4,0.30000000000000004,False,True,False,False,False,True
1034544128.0,1.7966971451370482e-06,True,0.1,0.2,0.15000000000000002,True,False,False,False,False,False
