compute_metrics_compute_utilisation_gpu_utilization_percent_3,global_energy_metrics_local_process_results_ram_power_process_2,model_architecture_architecture,inference_metrics_inference_performance_average_latency_ms_per_batch,global_energy_metrics_local_process_results_total_energy_kwh_process_1,compute_metrics_compute_utilisation_gpu_utilization_percent_0,setup_region,global_energy_metrics_global_experiment_results_cpu_power_avg,compute_metrics_memory_gpu_current_memory_allocated_bytes,variables_accelerate_config_distributed_type,inference_metrics_raw_inference_metrics_total_generated_tokens,global_energy_metrics_local_process_results_ram_power_process_1,variables_config_name,setup_date_time,variables_max_output_tokens,global_energy_metrics_local_process_results_gpu_energy_process_3,setup_available_cpu_count,global_energy_metrics_global_derived_quantities_tokens_per_joule,inference_metrics_inference_performance_throughput_tokens_per_sec,setup_model,global_energy_metrics_global_experiment_results_total_energy_joules,setup_os,global_energy_metrics_local_process_results_total_energy_joules_process_3,global_energy_metrics_local_process_results_total_energy_joules_process_2,variables_quantisation_quantization,variables_batching_options_adaptive_batching,setup_gpu_model,variables_latency_simulation_burst_size,variables_sharding_config_fsdp_config_use_orig_params,global_energy_metrics_local_process_results_ram_power_process_0,setup_task_type,global_energy_metrics_local_process_results_cpu_energy_process_2,setup_is_encoder_decoder,compute_metrics_flops,variables_batching_options_batch_size___fixed_batching,variables_latency_simulation_simulate,variables_sharding_config_fsdp_config_cpu_offload,variables_decoder_config_decoding_mode,global_energy_metrics_local_process_results_total_energy_joules_process_1,variables_accelerate_config_num_processes,variables_query_rate,global_energy_metrics_local_process_results_cpu_energy_process_0,global_energy_metrics_local_process_results_cpu_power_process_0,variables_latency_simulation_burst_interval,compute_metrics_memory_gpu_current_memory_reserved_bytes,variables_latency_simulation_delay_min,variables_decode_token_to_text,global_energy_metrics_global_experiment_results_cpu_energy_total,variables_backend,global_energy_metrics_local_process_results_ram_energy_process_2,compute_metrics_memory_gpu_max_memory_reserved_bytes,variables_inference_type,global_energy_metrics_global_experiment_results_ram_power_avg,setup_experiment_id,global_energy_metrics_local_process_results_ram_energy_process_3,global_energy_metrics_global_experiment_results_ram_energy_total,variables_quantisation_load_in_8bit,variables_decoder_config_top_k,global_energy_metrics_local_process_results_gpu_power_process_2,global_energy_metrics_global_derived_quantities_joules_per_token,inference_metrics_raw_inference_metrics_number_input_prompts,compute_metrics_compute_utilisation_gpu_utilization_percent_1,setup_country,global_energy_metrics_local_process_results_total_energy_joules_process_0,global_energy_metrics_local_process_results_ram_energy_process_0,global_energy_metrics_local_process_results_cpu_power_process_1,variables_decoder_config_decoder_top_p,global_energy_metrics_global_derived_quantities_flops_per_joule,global_energy_metrics_local_process_results_gpu_power_process_1,global_energy_metrics_local_process_results_gpu_power_process_0,variables_decoder_config_decoder_top_k,global_energy_metrics_per-process_emissions_1,global_energy_metrics_local_process_results_ram_energy_process_1,inference_metrics_raw_inference_metrics_total_input_tokens,variables_max_input_tokens,global_energy_metrics_local_process_results_gpu_power_process_3,global_energy_metrics_local_process_results_gpu_energy_process_1,global_energy_metrics_global_experiment_results_total_energy_kwh,global_energy_metrics_experiment_id,setup_available_gpu_count,inference_metrics_inference_performance_total_inference_time_sec,setup_python_version,compute_metrics_compute_utilisation_cpu_usage_percent,global_energy_metrics_local_process_results_cpu_power_process_3,global_energy_metrics_local_process_results_total_energy_kwh_process_2,variables_quantisation_cached_flops_for_quantised_models,global_energy_metrics_local_process_results_gpu_energy_process_2,global_energy_metrics_local_process_results_ram_power_process_3,global_energy_metrics_local_process_results_gpu_energy_process_0,global_energy_metrics_local_process_results_cpu_power_process_2,compute_metrics_compute_utilisation_cpu_memory_usage_bytes,model_architecture_total_params,variables_decoder_config_decoder_temperature,inference_metrics_inference_performance_throughput_queries_per_sec,variables_batching_options_max_batch_size___adaptive_batching,variables_number_input_prompts,variables_latency_simulation_delay_max,global_energy_metrics_per-process_emissions_0,global_energy_metrics_global_experiment_results_gpu_energy_total,global_energy_metrics_local_process_results_cpu_energy_process_1,compute_metrics_memory_gpu_max_memory_allocated_bytes,global_energy_metrics_per-process_emissions_2,setup_cpu_model,global_energy_metrics_local_process_results_cpu_energy_process_3,variables_sharding_config_sharding_strategy,compute_metrics_compute_utilisation_gpu_utilization_percent_2,global_energy_metrics_global_derived_quantities_joules_per_flop,global_energy_metrics_local_process_results_total_energy_kwh_process_3,variables_batching_options_adaptive_max_tokens,global_energy_metrics_global_experiment_results_gpu_power_avg,variables_latency_simulation_simulate_burst,global_energy_metrics_local_process_results_total_energy_kwh_process_0,variables_quantisation_load_in_4bit,global_energy_metrics_per-process_emissions_3,variables_fp_precision
100.0,0.8572998046875001,Unknown (no config attribute),3190.869705984369,0.0021195432601115428,4.0,saxony,112.5,4419853312,DistributedType.MULTI_GPU,16384,0.876859188079834,A5_Parallel_Overdrive,"April 17, 2025 at 12:15:33 AM",128,0.001720021098241098,128,0.6276152744023691,2567.3251354125114,TinyLlama/TinyLlama-1.1B-Chat-v1.0,26105.16453029486,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,7191.466734964078,5606.751844462332,False,False,4 x NVIDIA A100-PCIE-40GB,0,False,1.0768060684204102,text_generation,0.00019980366819072516,False,16949970993152,64,False,False,greedy,7630.355736401554,4,1.0,0.0002024248984034784,112.5,0.0,6870269952,0,True,0.0009820851217227755,pytorch,1.238259046099958e-06,6870269952,pure_generative,0.9196511507034302,0001,1.8081926072207341e-06,6.6469598553273865e-06,False,NA,867.9969703309196,1.5933327960385046,128,100.0,Germany,5676.590214466899,1.5640628952126065e-06,112.5,,649295696.7760797,385.62922272240814,708.9398236948387,,0.000600693622833657,2.0364453067940882e-06,16384,128,508.91793639320946,0.001813450617428991,0.007251434591748573,0001,4,6.381739411968738,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",7.7,112.5,0.0015574310679062034,16949970993152,0.0013563891406693784,0.8676395416259766,0.0013728416538310029,112.5,3087790080,1100048384,1.0,20.057227620410245,0,128,0,0.0008074400049394923,0.00626270251017047,0.0003040561973757576,4419853312,0.0007609970146346016,AMD EPYC 7742 64-Core Processor,0.00027580035775281433,NO_SHARD,100.0,1.5401303365558367e-09,0.0019976296486011328,0,617.8709882853439,False,0.0015768306151296941,False,0.0005933033653188682,torch.float16
2.0,NA,Unknown (no config attribute),9608.198571251705,NA,0.0,saxony,112.5,1576821248,DistributedType.MULTI_GPU,16384,NA,A4_Latency_Ignorance_Exploit,"April 17, 2025 at 12:16:37 AM",128,NA,128,2.6211259678357166,426.30259664444,TinyLlama/TinyLlama-1.1B-Chat-v1.0,6250.748800725663,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,NA,NA,True,False,4 x NVIDIA A100-PCIE-40GB,0,False,0.933680534362793,text_generation,NA,False,16949970993152,32,False,False,greedy,NA,1,1.0,0.001179780516531537,112.5,0.0,2661285888,0,True,0.001179780516531537,pytorch,NA,2661285888,pure_generative,0.933680534362793,0002,NA,7.5176000095373765e-06,True,NA,NA,0.381515429731791,128,0.0,Germany,6250.748800725663,7.5176000095373765e-06,NA,,2711670478.7727575,NA,50.64344167566961,,NA,NA,16384,128,NA,NA,0.0017363191113126844,0002,1,38.43279428500682,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",2.4,NA,NA,16949970993152,NA,NA,0.0005490209947716096,NA,2673688576,1100048384,1.0,3.3304890362846873,0,128,0,0.0006614507654545671,0.0005490209947716096,NA,1576821248,NA,AMD EPYC 7742 64-Core Processor,NA,NO_SHARD,0.0,3.6877637154960583e-10,NA,0,50.64344167566961,False,0.0017363191113126844,False,NA,torch.float16
100.0,0.6295523643493652,Unknown (no config attribute),3381.7154037569708,0.08653620273562335,11.0,saxony,112.5,8818209280,DistributedType.MULTI_GPU,16384,0.6290702819824219,R7_anti_platonic_ideal,"April 17, 2025 at 12:44:01 AM",128,0.07014431361540652,128,0.014119684734711474,37.85061269727085,TinyLlama/TinyLlama-1.1B-Chat-v1.0,1160365.8514925614,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,307721.7721962625,271683.7670678075,False,False,4 x NVIDIA A100-PCIE-40GB,20,False,0.6922774314880371,text_generation,0.013418921893769944,False,16949970993152,1,True,False,greedy,311530.32984824403,4,1.0,0.013302233693313608,112.5,6.0,9357492224,0.4,True,0.05744385869508006,pytorch,6.365881477397765e-05,9357492224,pure_generative,0.6479265689849854,0001,7.435363273462031e-05,0.000282664208484505,False,200,598.1053940747204,70.82311105301278,128,100.0,Germany,269429.9823802475,6.987501448028751e-05,112.5,,14607436.931506993,1288.8214623195577,515.2674934866046,,0.028510931052154246,7.477674649561957e-05,16384,128,526.0312837373957,0.07099832568750752,0.32232384763682265,0001,4,432.85957168089226,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",4.7,112.5,0.07546771307439097,16949970993152,0.06198513236584713,0.6408061981201172,0.061469553064497084,112.5,1987727360,1100048384,1.2,0.2957079116974285,0,128,0.5,0.032965966432135715,0.26459732473325825,0.015463100301620219,8818209280,0.03256294697726839,AMD EPYC 7742 64-Core Processor,0.015259602806376286,NO_SHARD,100.0,6.845827948386246e-08,0.08547827005451736,0,732.0564084045695,True,0.07484166177229097,False,0.028749425295689243,torch.float32
0.0,NA,Unknown (no config attribute),5043.379348004237,0.001096519183256438,0.0,saxony,112.5,1087688704,DistributedType.MULTI_GPU,16384,0.9648528099060059,A2_Precision_Minimalist,"April 17, 2025 at 12:44:40 AM",128,NA,128,2.431026229344381,3248.615436093156,TinyLlama/TinyLlama-1.1B-Chat-v1.0,6739.540611381462,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,NA,NA,True,False,4 x NVIDIA A100-PCIE-40GB,0,False,0.926722526550293,text_generation,NA,False,16949970993152,128,False,False,greedy,3947.469059723177,2,1.0,0.00016115954606357263,112.5,0.0,2621440000,0,True,0.00040761939690855796,pytorch,NA,2621440000,pure_generative,0.9457876682281494,0002,NA,3.0293259834287743e-06,False,NA,NA,0.4113489142688881,128,100.0,Germany,2792.071551658285,1.2426166351714438e-06,112.5,,2515003910.5822105,304.5698891334744,0.0,,0.00041771898286154007,1.7867093482573305e-06,16384,128,NA,0.0008482726230631954,0.0018720946142726284,0002,2,5.043379348004237,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",3.2,NA,NA,16949970993152,NA,NA,0.0006131732683174462,NA,2655080448,615606272,1.0,25.37980809447778,0,128,0,0.0002954554604456177,0.0014614458913806416,0.0002464598508449853,1087688704,NA,AMD EPYC 7742 64-Core Processor,NA,NO_SHARD,0.0,3.9761369586439537e-10,NA,0,152.2849445667372,False,0.0007755754310161903,True,NA,torch.float16
100.0,0.8676838874816895,Unknown (no config attribute),3142.8299229883123,0.002095924146058682,4.0,saxony,112.5,4419853312,DistributedType.MULTI_GPU,16384,0.8776602745056152,A5_Parallel_Overdrive,"April 17, 2025 at 12:45:20 AM",128,0.0016421518692766313,128,0.6476461578441424,2606.568029685412,TinyLlama/TinyLlama-1.1B-Chat-v1.0,25297.7645301539,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,6864.193454296098,5409.35327847408,False,False,4 x NVIDIA A100-PCIE-40GB,0,False,1.0775771141052246,text_generation,0.00019625181315859665,False,16949970993152,64,False,False,greedy,7545.326925811255,4,1.0,0.0001976404893721337,112.5,0.0,6870269952,0,True,0.0009534766759315971,pytorch,1.2505534525338612e-06,6870269952,pure_generative,0.920520544052124,0003,1.6906751009344091e-06,6.525284277486688e-06,False,NA,803.9708487782817,1.5440530108736512,128,100.0,Germany,5478.890871572469,1.5831390228510557e-06,112.5,,670018529.6194186,532.9736228707859,846.2098661895008,,0.0007263651378928052,2.0009167011673615e-06,16384,128,668.6672727316094,0.0017972167155502206,0.00702715681393164,0003,4,6.285659845976625,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",4.7,112.5,0.0015025981329094666,16949970993152,0.0013050957662983365,0.8591609001159668,0.0013226905025973679,112.5,3091206144,1100048384,1.0,20.36381273191728,0,128,0,0.0005724147587318613,0.006067154853722556,0.00029670651380729395,4419853312,0.000798442303441055,AMD EPYC 7742 64-Core Processor,0.0002628778595935728,NO_SHARD,100.0,1.4924960367409782e-09,0.0019067204039711384,0,712.9554026425444,False,0.0015219141309923527,False,0.0005797731882015367,torch.float16
100.0,0.9884862899780272,Unknown (no config attribute),10655.556441255612,0.017279168774865405,0.0,saxony,112.5,1576733184,DistributedType.MULTI_GPU,16384,0.9870557785034179,R3_Balanced_Enterprise_Service,"April 17, 2025 at 12:47:42 AM",128,0.013291228688531831,128,0.09628304903643309,384.4003851494162,TinyLlama/TinyLlama-1.1B-Chat-v1.0,170164.9476617672,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,59164.7559263635,24340.225464550254,True,False,4 x NVIDIA A100-PCIE-40GB,5,False,0.946589469909668,text_generation,0.0013074401669437067,False,16949970993152,32,True,False,top_k,62205.00758951546,4,1.0,0.0013146029436175016,112.5,4.0,2837446656,0.5,True,0.009031649351365561,pytorch,8.968384066201476e-06,2837446656,pure_generative,0.977773904800415,0004,2.4007812552038328e-05,6.716474154204436e-05,True,NA,675.1396589482476,10.386044168809033,128,100.0,Germany,24454.958681337983,8.72564765269073e-06,112.5,,99609063.00657791,377.69783953838134,566.0204868682468,50,0.002587810141571029,2.546289727111383e-05,16384,128,449.3810770851718,0.013963517559695937,0.04726804101715756,0004,4,42.62222576502245,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",4.9,112.5,0.006761173740152848,16949970993152,0.005444765189142942,0.988964080810547,0.005469715486879245,112.5,2710708224,1100048384,1.0,3.003128008979814,0,128,1.5,0.006582499344784976,0.038169226924249955,0.003290188317898356,1576733184,0.006260781602818937,AMD EPYC 7742 64-Core Processor,0.0031194179229059953,NO_SHARD,100.0,1.0039247130895738e-08,0.01643465442398986,0,517.0597656100119,True,0.00679304407814944,False,0.0025756691363112275,torch.float16
1.0,NA,Unknown (no config attribute),3430.5279334876104,NA,4.0,saxony,112.5,4419853312,DistributedType.MULTI_GPU,16384,NA,R4_High_Load_Cloud_API_Deployment,"April 17, 2025 at 12:49:02 AM",128,NA,128,1.7225926342614757,298.4963305513624,TinyLlama/TinyLlama-1.1B-Chat-v1.0,9511.244663497755,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,NA,NA,False,False,4 x NVIDIA A100-PCIE-40GB,5,False,1.0768260955810547,text_generation,NA,False,16949970993152,8,True,False,greedy,NA,1,1.0,0.0016854398883424434,112.5,2.0,6606028800,0.05,True,0.0016854398883424434,pytorch,NA,6606028800,pure_generative,1.0768260955810547,0005,NA,1.3896486266931837e-05,False,NA,NA,0.5805203041685641,128,100.0,Germany,9511.244663497755,1.3896486266931837e-05,NA,,1782098094.7112613,NA,63.23535278604862,,NA,NA,16384,128,NA,NA,0.002642012406527154,0005,1,54.88844693580177,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",2.4,NA,NA,16949970993152,NA,NA,0.0009426760319177774,NA,3090186240,1100048384,1.0,2.332002582432519,0,128,0.2,0.0010064746262665194,0.0009426760319177774,NA,4419853312,NA,AMD EPYC 7742 64-Core Processor,NA,NO_SHARD,0.0,5.61136338660427e-10,NA,0,63.23535278604862,True,0.002642012406527154,False,NA,torch.float16
100.0,0.8669185638427734,Unknown (no config attribute),3166.5062177635264,0.0032871207804867782,4.0,saxony,112.5,4419853312,DistributedType.MULTI_GPU,16384,0.8660702705383301,R6_Medium_Scale_Language_Model_Serving,"April 17, 2025 at 12:49:49 AM",128,0.002744970807084357,128,0.38850237640404134,1293.5392253525927,TinyLlama/TinyLlama-1.1B-Chat-v1.0,42172.20021058684,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,11665.663515055428,9210.98160623965,False,False,4 x NVIDIA A100-PCIE-40GB,0,False,1.0780177116394043,text_generation,0.0003835189619057928,False,16949970993152,32,True,False,greedy,11833.634809752402,4,1.0,0.00039450079702510265,112.5,0.0,6870269952,0.01,True,0.0017700481930860406,pytorch,2.4350239321045666e-06,6870269952,pure_generative,0.9193564653396606,0006,3.2308848090419816e-06,1.2092530650970072e-05,False,NA,843.1651932804341,2.5739868292594505,128,100.0,Germany,9461.920279539361,3.1455516524465553e-06,112.5,,401922852.22284675,584.2535415111439,678.864878266056,,0.0010012551473584778,3.2810702573769676e-06,16384,128,585.3501867873894,0.0027840716716962532,0.011714500058496346,0006,4,12.666024871054105,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",4.7,112.5,0.002558606001733236,16949970993152,0.0021726520158953377,0.8664193153381349,0.002230664840083385,112.5,3092172800,1100048384,1.0,10.10577519806713,0,128,0.1,0.0012522286613264383,0.009932359334759333,0.0004997680385331479,4419853312,0.0012344540322389904,AMD EPYC 7742 64-Core Processor,0.0004922603956219973,NO_SHARD,100.0,2.4880396684823196e-09,0.0032404620875153968,0,672.9084499612559,False,0.002628311188760934,False,0.0009747009563602763,torch.float16
100.0,NA,Unknown (no config attribute),2795.350058493568,NA,11.0,saxony,112.5,8818209280,DistributedType.MULTI_GPU,16384,NA,R2_Low_Latency_Chatbot_Deployment,"April 17, 2025 at 12:51:46 AM",128,NA,128,0.7742751859533621,183.16131764760797,TinyLlama/TinyLlama-1.1B-Chat-v1.0,21160.43533001312,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,NA,NA,False,False,4 x NVIDIA A100-PCIE-40GB,0,False,0.6976761817932129,text_generation,NA,False,16949970993152,4,True,False,top_p,NA,1,1.0,0.0027461096861188705,112.5,0.0,12343836672,0.01,True,0.0027461096861188705,pytorch,NA,12343836672,pure_generative,0.6976761817932129,0007,NA,1.4176522574623114e-05,False,NA,NA,1.291530476685371,128,100.0,Germany,21160.43533001312,1.4176522574623114e-05,NA,0.9,801021847.0841588,NA,131.11762209861303,,NA,NA,16384,128,NA,NA,0.005877898702781422,0007,1,89.45120187179418,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",3.7,NA,NA,16949970993152,NA,NA,0.003117612494087929,NA,2002219008,1100048384,1.0,1.4309477941219373,0,128,0.05,0.0022391855108245826,0.003117612494087929,NA,8818209280,NA,AMD EPYC 7742 64-Core Processor,NA,NO_SHARD,0.0,1.2484054007267741e-09,NA,0,131.11762209861303,False,0.005877898702781422,False,NA,torch.float32
99.0,NA,Unknown (no config attribute),8695.390938463333,NA,0.0,saxony,112.5,1576112640,DistributedType.MULTI_GPU,16384,NA,R5_Real_Time_Mobile_Inference,"April 17, 2025 at 01:10:45 AM",128,NA,128,0.09983004295423681,14.720442232654856,TinyLlama/TinyLlama-1.1B-Chat-v1.0,164118.93168783476,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,NA,NA,True,False,4 x NVIDIA A100-PCIE-40GB,8,False,0.937767505645752,text_generation,NA,False,16949970993152,1,True,False,top_p,NA,1,1.0,0.03402782125676453,112.5,5.0,2401239040,0.2,True,0.03402782125676453,pytorch,NA,2401239040,pure_generative,0.937767505645752,0008,NA,0.00022470014322892274,True,NA,NA,10.01702463915007,128,100.0,Germany,164118.93168783476,0.00022470014322892274,NA,0.9,103278584.73629346,NA,36.94517783152545,,NA,NA,16384,128,NA,NA,0.045588592135509656,0008,1,1113.0100401233067,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",3.2,NA,NA,16949970993152,NA,NA,0.011336070735516124,NA,2686156800,1100048384,1.0,0.11500345494261606,0,128,0.6,0.017366974174022404,0.011336070735516124,NA,1576112640,NA,AMD EPYC 7742 64-Core Processor,NA,NO_SHARD,0.0,9.682549412865713e-09,NA,0,36.94517783152545,True,0.045588592135509656,False,NA,torch.float16
